Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NK cells	66/669	3.5294957658054174E-24	3.3530209775151464E-22	0	0	5.343719546596913	288.56559653722576	HIP1;WIPF1;NAB1;CELF2;D16ERTD472E;GXYLT1;CTSW;MS4A4B;GPR174;DOCK10;PREX1;SEPT6;CYSLTR2;PPP3CC;EPSTI1;JAK1;PPP1R16B;MBNL1;KLF13;IFNGR1;ARAP2;SERPINB9;RUNX3;IFNG;LCK;HECA;DOCK2;MAPRE2;NSMAF;PTGER4;ANKRD11;PPM1H;ZC3HAV1;ZFP36L2;BCL2L11;CHSY1;CCL5;TBX21;STAT4;ZSWIM6;FYN;KLRC1;RBM39;AW112010;RABGAP1L;MAP3K1;KLRC2;CD160;GZMA;SH2D1A;NKG7;NFATC1;BTBD11;FOXN3;MARCH7;PTPRC;FASL;SERPINB6B;CD7;BCL2;AAK1;TPP2;KLRD1;CD247;PDE7A;FRYL
T-cells foxP3+	18/112	7.311805477556323E-11	3.4731076018392533E-9	0	0	8.543236384930704	199.390130878834	PTGER4;CD96;PRKCH;CELF2;IPCEF1;GIMAP7;ETS1;MS4A6B;CD6;PELI1;CD27;CTLA4;VPS54;PDCD1;CD247;TOX;RAPGEF6;AGFG1
thymocyte SP CD4+	20/203	4.2016597688709644E-8	1.3305255934758055E-6	0	0	4.875978947898568	82.81948305604307	ITK;SATB1;SH2D2A;STK39;CD3G;GIMAP4;CD3E;IPCEF1;MLLT3;4932438A13RIK;ITPKB;CD2;AKAP13;SEPT6;LCK;CD28;AAK1;CD226;CD247;TOX
T-cells CD8+	17/166	2.502065153953593E-7	5.942404740639784E-6	0	0	5.064257521539478	76.9816732407881	CD96;ITK;TXK;CD8B1;BTBD11;ITGAE;IPCEF1;GRAMD3;MS4A4B;TMEM71;MS4A6B;CD6;CD8A;GRAP2;GM8369;CD247;UTRN
follicular B-cells	34/603	1.1871566954860592E-6	2.2555977214235126E-5	0	0	2.6998828353837143	36.837064903605395	BTG2;DGKD;WIPF1;NEDD9;GIMAP3;GIMAP4;GIMAP5;GIMAP6;ARHGAP15;ETS1;GIMAP7;FOXO1;ZFP36L1;GPR174;ABLIM1;SEPT6;IL21R;CD38;GM8369;ATF7IP;GRCC10;RBM39;P2RY10;RABGAP1L;ANKRD44;FOXN3;FLI1;ABI3;STK17B;LTB;PDE7A;GAS5;RAPGEF6;GPR18
lymph nodes	11/90	6.059698204106357E-6	9.594522156501733E-5	0	0	6.118724462096751	73.50944130805186	ITK;GPR132;RABGAP1L;ABI3;EPSTI1;PELI1;GIMAP3;CD247;ARHGAP15;CD3D;JAK1
T-cells CD4+	15/191	3.246361353201597E-5	4.405776122202167E-4	0	0	3.7604835369641747	38.86606649820529	ITK;KLF13;TXK;FOXO1;TMEM71;MS4A6B;CD6;LCK;RNF19A;CD28;GM8369;CD247;UTRN;CYTIP;RAPGEF6
B-cells GL7negative Alum	21/379	1.6971978657212807E-4	0.002015422465544021	0	0	2.59942972892771	22.56658993791675	COX8A;RABGAP1L;DDX5;BTG1;DGKD;H3F3B;ANKRD11;COX17;NFATC1;ZC3HAV1;KLHL24;CHD2;COX7C;ZFP36L2;IMPACT;ABLIM1;CASP3;OSTF1;SMYD3;GM8369;LUC7L2
mast cells	25/515	3.2757865693414643E-4	0.0034577747120826566	0	0	2.2663051234479807	18.18433906709806	WIPF1;SH3KBP1;GPR65;TXK;SLC3A2;ZFP36L2;UBASH3B;CHST11;GRAP2;RAC2;JUNB;PRKACB;IER2;PAG1;H3F3B;PRKCA;SERPINA3G;RUNX3;FLI1;CD200R4;BHLHE40;BCL2;CD69;ST6GALNAC3;HCST
mast cells IgE+antigen 1hr	16/265	3.9046890942365036E-4	0.0037094546395246785	0	0	2.8309768755386844	22.217965729742094	JUND;GCH1;DENND4A;NDUFA3;NFATC1;MARCH7;CHD2;4932438A13RIK;TTC39B;NR4A2;MED14;ATXN1;NR4A3;BHLHE40;FOSB;CD69
