# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak0	Hint3 (-37397)
peak1	Cxcl5 (-17182)
peak2	Pip4k2a (+45828)
peak3	Pgbd5 (-708)
peak4	Gpatch2l (-9)
peak5	Lemd2 (-138050)
peak6	Gm3604 (-83678)
peak7	Fbp1 (-76543)
peak8	2610301B20Rik (-104294)
peak9	Kbtbd8 (+119)
peak10	Nup133 (-39)
peak11	Smim3 (+20781)
peak12	Bend6 (+24198)
peak13	Scyl2 (-86)
peak14	Fastkd2 (+27)
peak15	Ctla2a (+43)
peak16	Gap43 (+187881)
peak17	Ppp3ca (-58896)
peak18	Diaph3 (+404296)
peak19	Gorasp2 (-58)
peak20	Cstf2t (-82)
peak21	N6amt1 (-29367)
peak22	Wnt7b (-56614)
peak23	AW549877 (-185)
peak24	Prr14l (-104)
peak25	Glud1 (+6)
peak26	Zbp1 (-16)
peak27	Polr3k (+6)
peak28	Atg10 (-73)
peak29	Eaf1 (+36944)
peak30	Tigd2 (-56)
peak31	Cenpp (-126)
peak32	Rnf141 (+86)
peak33	Arid1b (-14669)
peak34	Trim36 (+119708)
peak35	Sorbs1 (-146)
peak36	Svbp (-166)
peak37	NONE
peak38	1810022K09Rik (-145)
peak39	Arhgef7 (+30258)
peak40	Ckap2l (-105)
peak41	F2rl2 (+68239)
peak42	Fbxo38 (-38)
peak43	Samm50 (-24)
peak44	Basp1 (+58748)
peak45	Strbp (-56184)
peak46	March3 (+1)
peak47	Lrif1 (-248)
peak48	Upf3b (+5)
peak49	Fbxl22 (+22030)
peak50	Cct2 (-75)
peak51	Tecr (-40)
peak52	Zfat (-104609)
peak53	Larp7 (+40)
peak54	Stard5 (+23435)
peak55	Mis18bp1 (-238)
peak56	Prdm4 (-68)
peak57	Gmfb (+24)
peak58	Plekha1 (-158)
peak59	Olfr532 (-20089)
peak60	Chchd3 (-101)
peak61	Xpr1 (-169)
peak62	Tesk2 (-255)
peak63	Tbc1d1 (+70818)
peak64	Rapgef2 (+105997)
peak65	Lancl2 (+666)
peak66	Npm1 (-38)
peak67	Fhit (+708854)
peak68	Stat1 (-176)
peak69	Taf7 (-42)
peak70	Surf6 (+25)
peak71	Rab3ip (-86)
peak72	Gpr137c (-522)
peak73	Zfp97 (+113381)
peak74	Atp10a (+91925)
peak75	Rgcc (+8051)
peak76	Snrnp48 (-24)
peak77	Nsmce2 (+48)
peak78	Mboat1 (+29858)
peak79	Chd8 (-106)
peak80	Eif2ak4 (-125)
peak81	Mettl14 (+39)
peak82	Rbm27 (-122)
peak83	Ptpdc1 (-56)
peak84	Mrpl32 (-8)
peak85	Pigv (+6286)
peak86	Rps17 (-68)
peak87	Ehd4 (-10220)
peak88	Ankrd11 (-9569)
peak89	Mrps9 (+29)
peak90	Slc43a2 (+17942)
peak91	Haus7 (-183)
peak92	Ercc3 (+56)
peak93	Nck2 (+116783)
peak94	Metap1 (+92)
peak95	Hpse (-9226)
peak96	Tppp (-18)
peak97	Plcg2 (+50316)
