# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak1	HPGD (-184600), GLRA3 (+121816)
peak2	FNDC3A (-84063), CYSLTR2 (+185991)
peak3	MCHR2 (-167846), SIM1 (+302860)
peak4	TULP4 (-41227), GTF2H5 (+102909)
peak5	FBXO33 (+49081), CTAGE5 (+116295)
peak6	ACTR6 (-155651), ANKS1B (-60199)
peak7	CPEB2 (-146033)
peak8	TGIF2LY (-87530), ZFY (+555934)
peak9	FOXN4 (+69872), ACACB (+122753)
peak10	GPR52 (-49703), RABGAP1L (+238891)
peak11	FCGR2B (-26838), FCGR3B (-5117)
peak12	NONE
peak13	SEMA3A (-481027), SEMA3D (+446007)
peak14	AGTPBP1 (+95646), NTRK2 (+976605)
peak15	REEP2 (-36149), KDM3B (+50272)
peak16	SLC37A2 (-26302), CCDC15 (+82913)
peak17	CDH19 (-756155), DSEL (+156691)
peak18	CEP95 (+74473), SMURF2 (+81007)
peak19	STX18 (+17455), HGNC:18790 (+176433)
peak20	FAM71C (-210984), APAF1 (+791628)
peak21	MKL1 (+34478), SGSM3 (+128791)
peak22	LDLRAD4 (-258551), CEP192 (+28190)
peak23	CASR (-37691), CD86 (+91269)
peak24	SDHC (+9991), CFAP126 (+43626)
peak25	AHI1 (-225220), PDE7B (-128731)
peak26	ATXN2 (+94013), SH2B3 (+99715)
peak27	PPP1R12B (+58952), SYT2 (+235802)
peak28	ENSG00000284552 (-228290), BASP1 (+40381)
peak29	CLTC (-18402), DHX40 (+35762)
peak30	EIF1AX (-83223), RPS6KA3 (+41773)
peak31	NUDT12 (-305139)
peak32	GATB (-16642), FBXW7 (+758436)
peak33	ASPH (+87212), CLVS1 (+339392)
peak34	LRFN4 (+34813), PC (+66061)
peak35	SLC19A3 (-87714), CCL20 (-8128)
peak36	MANF (-359514), DOCK3 (+350292)
peak37	ARFGEF1 (-197157), CPA6 (+205551)
peak38	TMEM110 (-37244), SFMBT1 (+111228)
peak39	CD96 (-149095), NECTIN3 (+321280)
peak40	LMOD3 (-245948), FRMD4B (+17559)
peak41	NDUFA4 (+886487)
peak42	ANXA8 (-1997)
peak43	TNIP3 (-45252), QRFPR (+108341)
peak44	ARID2 (-74250), ANO6 (+439330)
peak45	TRPS1 (+483244)
peak46	TLE3 (-202513), UACA (+462904)
peak47	PRKCQ (+49945), PFKFB3 (+384040)
peak48	KLF7 (-187195), CREB1 (-176752)
